Star Rating,Headline,Review Text
'3'.'0',"I got this mask to help with migraines, I get them constantly and they're pretty severe. I do love the weight of the mask, but it's been in the freezer for a few days and got warm in about 10","I like it for the most part but I had to make one critical modification for it to work well: I had to put a hair tie across the bridge of the nose (eventually I'll sew a row of small stitches on it) to keep the beads from migrating from one side to the other, particularly if I'm lying on my side. It also happens with the beads all going to the bottom of the mask when I sit upright with it (darn gravity), so maybe a couple more stitches to compartmentalize them a little bit more. Otherwise, I'm constantly re-distributing the beads instead of??well??relaxing.That said, it's a nice mask! Blocks out light nicely and feels lightweight. Has an adjustable headband, though the 'S?? loop does occasionally slide off on the headband."
'3'.'0',Not blocking the light out very well,"This is nice and weighty and smooth...but the beads move around a lot and there was the light this morning, coming into my eyes. I wish this could be improved, because it has so many things I like...except for the main reason I wear these."
'3'.'0',The only complaint is the plastic square where it tightens the strap is next to my ear which is uncomfortable for a side sleeper. It CAN be adjusted but I guess I have a fat head.?'??'?,Takes a bit to get used to but worth it
'3'.'0',"I bought this mask for my headaches in the morning and it did help with them when I would wear it. I've never really worn an eye mask so I didn't find it the most comfortable thing, but it wasn't bad. Weight isn't too heavy or anything.","Pretty mask, but very heavy"
'3'.'0',"It's a nice mask, it's sewn well, but the mask itself is really heavy on your face so it can't be worn for extended periods of time. Also it doesn't hold the cold for very long. Hours in the freezer equates to only a few minutes of cold on your eyes","I have been experiencing insomnia related to anxiety and this mask has helped. I keep it in the freezer and put it on at night. The weight on my face is very comforting, and the material is really nice. My only complaints are that it doesn't stay cold very long and the strap that goes around your head can come off one side."
'3'.'0',It feels nice but it hooks and when your sleep the hook comes undone,It feels nice but the strap hooks together and it comes undone alot
'3'.'0',Did not stay cold  for long.,"The little beads all sink to the bottom of the mask and make it too much pressure in that section, and the strap does not adjust as much as I'd like. (The strap adjuster also pulls my hair out.) It does block out light, though."
'3'.'0',,
'5'.'0',These are very comfortable and the light blacking is excellent.,I love this sleep mask
'5'.'0',"I absolutely love this sleep mask. It is very comfortable, nicely covers your eyes, blocks 100% all light AND stays on during the night. I tried other types/brands and had to return them all. This is the only winner. Also, it is great that it comes in a pack of 3, its always nice to have more on hand! Worth every penny!",Best masks in the market
'5'.'0',"I'm a pilot and I travel all around the world. I also sleep in sleeping quarters on board our aircraft.I've had 13 years to narrow down the perfect face masks and these are it!!!I've been using these for about 4 years now.Here's something I've learned.The first models were not as sturdy. They were a BIT more flimsy. Also, because we sweat at nights the masks will eventually require washing. They do just fine in the wash. The older models would get even more flimsy, but still worked.The latest models are made with a much sturdier material and even the wash does not soften the!!The biggest upside of these are the eye covers. They allow for you to open your eyes and not get the fabric to burn your eye like a billion hells.As far as cover? They are about 95% there. I'm a side sleeper and yes you get a tiny bit of light coming in but it's very marginal.I tell you this cus I'm an extremely picky sleeper, I need it to be pitch black and super quiet.I even survived using these while we had curtains installed at our new house. I used them for 3 months with 0 curtains or any cover my windows and I still slept like a baby.So good my wife now wears them religiously.",Very well made and attractive . My wife loves them.
'5'.'0',The masks are perfect! I love that it came in a pack of 3 for when I have to wash one thats full of dog hair. Comfortable and adjustable.,Adjustable straps. Dont come off while sleeping.
'5'.'0',Used mask to keep light out for faster sleep,Ive been using these for years. They work great!
'5'.'0',Block everything out.,These are comfortable and effective. They block everything out and stay on all night. Will buy again.
'5'.'0',"Soft, washable, good quality","I am impressed with these comfortable sleep masks. I washed and dried them with no problem. I like the adjustable strap that doesn't hurt my ears like other brands do. I use this daily and it has held up well with no pilling or pealing apart of layers. If you use it over a full CPAP mask in a lit room, you will find some light seeping through so you'd need to add some fabric at the nose, but when I use it, I just pull it down a bit more over the mask and it keeps out the light filtering in my room from street lamps and other outdoor lighting."
'5'.'0',Love this sleep mask!,"I have never been able to sleep in eye masks before because I can't stand the sensation of pressure on my eyelids. These masks are so wonderful because they don't actually touch your eyelids or eyelashes! Not only are they very comfortable, they also work great at blocking light; nothing gets through any cracks! The material is soft, and I love that the band is adjustable. Overall, I am thrilled with this purchase and use them almost every night!"
'5'.'0',"Question to self:why the heck did I wait so long to buy these eye masks?!Holy smokes, with an eye mask blocking out all the pesky light (paired with my ear plugs) and I could sleep through anything!My big ass head is happy the strap is adjustable because I cannot stand it being too tight on my head.  Another plus is the eye area is deeper so your eye lashes arent plastered to your face.  Stays in place despite my thrashing around which is a huge plus. I also love the fact this is a three pack so one can permanently live in my travel bag and the other two can be rotated when (hand) washed.",These are very soft and they're excellent on the eyes because they have an indentation. It doesn't let the material be on top of your eyelids. Good price good quality.
'5'.'0',"I ordered a second time. I need extras for my suitcase and guest room. Super comfy, and perfectly adjustable.",They are very soft and keep the light out. I have dry eye and the help keep my eyes moist.
'5'.'0',Great for those of us who's wives watch tv in bed.  Helps me get a great night sleep,Read the reviews and ordered for the price/quantity. These masks arrived on time. They are soft and the colors are vibrant. The scooped out center for your eye comfort is perfect. I hand washed them before use and they air dried in two days. From the first night they provided the darkness I need to put my overworked brain to sleep. I fall asleep quickly and through the night sleep at that. These are a great purchase. No complaints in three weeks.
'5'.'0',This product is quite comfortable and works well. Money well spent.,"I've never slept better! I have never used one of these before. I chose these because of the reviews, and not having the mask push down on your eyes. They are very comfortable and easy to adjust. They keep the light out. It use to take me two hours or more to fall asleep. I out this in and im asleep with 5-10min. Highly recommend!"
'5'.'0',I love these I work third shift so I sleep during the day and it is bowed so the inside dose not press on my eyes and it is adjustable and comfortable for sleeping.,Work well and comfortable.
'5'.'0',"These are soft and dont rub against your eyes. Effectively block the light without being at all bothersome. The colors are attractive but not distracting. If light bothers your sleep, these are the answer to your problem.",
'5'.'0',Completely block the light!,Very comfortable.  Blocks light completely especially that early morning blinding light allowing me to get another hour of rest.
'5'.'0',"Was looking for an sleep mask for an upcoming trip overseas. These masks are very comfy to wear, and definitely blackout. There's no pressure on the eyes, which I've had issues with other sleep masks previously. Definitely keeping these!",Rest Easy on an Airplane
'5'.'0',These soft eye masks block out sunlight.  Great for daytime naps.,These are so soft and comfortable. The band is adjustable. The material and padding block out the light so I can sleep during the day.
'5'.'0',Ever since I began wearing eye masks while I sleep my life has been changed for the better.(Warning longish review TLDR posted below)I have all kinds of eye masks cause I get migraines,These are great! No pressure or rubbing on your eyes. Very comfortable. It states do not machine wash but I got tired of hand washing them so I've been machine washing them. They come out fine and haven't lost their shape.I definitely recommend these!
'5'.'0',I am obsessed with these!!! They are silky and well made. I can open my eyes while tossing and turning and they don't rub against the mask. This has really helped me fall asleep faster at night.,Still my favorite eye masks after 4 years of use
'5'.'0',"I bought my first set of these 4 years ago, and I have been using them almost nightly ever since. I can be extremely sensitive to light when I sleep. I am prone to getting headaches if I dont cover my eyes at night.These are THE best eye masks I have ever had, considering the price and the way theyve held up over the years. Every face is different, but for me, they dont put unwanted pressure on my nose, they cup around my eyes so my eyelashes dont constantly rub against them, and Im always able to adjust them so theyre just right: comfortable and blocking out all the light.Ive also used them almost nightly for over 4 years, and NONE of them have come apart at the seams. For me, thats what really sets these apart from other molded eye masks like them. The only wear theyve shown after 4 years is losing a little bit of their shape (but not so much that theyre no longer comfortable or functional) and the elastic loosening a bit (which is easily fixed by tightening the strap).The only reason Im buying more now is because my kids keep playing with them and I keep losing them! I will happily buy and use these for the rest of my life.Excellent quality, excellent function, excellent comfort, excellent price. What more can you ask for?",These are well made and extremely light. Love that I can move my eyelashes when on. Wonderful they are totally adjustable too. Highly Recommended to friends .
